"ESTABLISHMENT NAME","ADDRESS","ALDERMANIC DISTRICT","INSPECTION DATE","ESTABLISHMENT GRADE"
"PETE'S FRUIT MARKET","2323 N MARTIN L KING JR DR","6","08/30/2018","B"
"FULL OF BEANS CAFE","184 S 2ND ST","12","08/30/2018","A"
"TACOS SAN JOSE CC (ID #0677)","1712 W PIERCE ST","12","08/30/2018","MA"
"MYRA'S JUGOS Y FRUTAS","1406 W MITCHELL ST","12","08/30/2018","A"
"SOUTH AVE FOOD","2108 S 25TH ST","8","08/30/2018","A"
"ARANDA'S ID #551","1531 W LINCOLN AV","12","08/29/2018","MA"
"BARNACLE BUD'S","1955 S HILBERT ST","14","08/29/2018","A"
"CAFE CORAZON BAY VIEW","2394 S KINNICKINNIC AV","14","08/29/2018","A"
"FRENCH MEADOWS - CONCOURSE C","5300 S HOWELL AV","13","08/27/2018","A"
"CLUB TIMBUKTU","520 E CENTER ST","6","08/27/2018","A"
"OSCAR'S PUB & GRILL #0531","1000 W LINCOLN AV","12","08/27/2018","MA"
"COACH'S PUB & GRILL","5356 S 13TH ST","13","08/24/2018","A"
"CLARK","3865 S 76TH ST","11","08/23/2018","A"
"STATION ON THE PARK INC","7537 N TEUTONIA AV","1","08/22/2018","A"
"CULVER'S","575 W LAYTON AV","13","08/22/2018","A"
"HAPPY FACE FOOD MART","2039 W GREENFIELD AV","8","08/22/2018","A"
"MCDONALDS","3137 S 76TH ST","11","08/21/2018","A"
"ZAD'S","436 S 2ND ST","12","08/21/2018","A"
"WAL-MART #2936","10330 W SILVER SPRING DR","","08/20/2018","A"
"SOBELMAN'S PUB & GRILL","1900 W ST PAUL AV","8","08/20/2018","A"
"MARA'S GRILL","3441 N 84TH ST","5","08/17/2018","A"
"MARA'S GRILL","3441 N 84TH ST","5","08/17/2018","A"
"BIGGIE SUBS & DELI","6602 W LISBON AV","","08/17/2018","A"
"BIGGIE SUBS & DELI","6602 W LISBON AV","","08/17/2018","A"
"COMFORT SUITES PARK PLACE","10831 W PARK PL","5","08/17/2018","A"
"CHICKEN PALACE-FOREST HOME ID #0638","1937 W FOREST HOME AV","12","08/17/2018","MA"
"LA CARIBENA RESTAURANT","1704 S PEARL ST","8","08/16/2018","B"
"N. PORT FOOD & LIQUOR","3876 N PORT WASHINGTON AV","6","08/16/2018","A"
"MAVERICKS","2030 W HOWARD AV","13","08/16/2018","A"
"COUSINS","3104 S 27TH ST","13","08/15/2018","A"
"DALE'S","6132 W CAPITOL DR","","08/15/2018","A"
"DUNKIN DONUTS","4550 S 27TH ST","13","08/15/2018","A"
"LAS 7 ESTRELLAS","112 E DAKOTA ST","14","08/15/2018","A"
"RIVERWEST PUBLIC HOUSE COOPERATIVE","815 E LOCUST ST","3","08/15/2018","A"
"CORPORATE CATERERS","7933 N 73RD ST","9","08/15/2018","A"
"DELTA SKY CLUB-CONCOURSE D","5300 S HOWELL AV","13","08/14/2018","A"
"POINT BURGER EXPRESS","322 W STATE ST","4","08/14/2018","A"
"AFRICAN FOOD DISTRIBUTION","5812 W VILLARD AV","2","08/14/2018","A"
"DELEXUS ENTERPRISES","1200 W KEEFE AV","6","08/14/2018","A"
"FAMOUS FAMIGLIA PIZZA- CONCESSIONS MALL","5300 S HOWELL AV","13","08/14/2018","A"
"SILK/JOKERS/SHOWTIME SPORTS BAR","11400 W SILVER SPRING RD","5","08/13/2018","B"
"NWHC- LOST PLACARD","7630 W MILL RD","9","08/12/2018","MA"
"THE THIRSTY FOX","7586 N TEUTONIA AV","1","08/10/2018","A"
"SWIG","217 N RIVERWALK WA","4","08/10/2018","A"
"AVENUE BAR & GRILL","611 W WISCONSIN AV","4","08/10/2018","A"
"NINO'S SOUTHER SIDES, LLC","3070 N MARTIN L KING JR DR","6","08/10/2018","A"
"INDULGE","708 N MILWAUKEE ST","4","08/10/2018","A"
"VILLARD SHARKS, FISH & CHICKEN","5834 W VILLARD AV","","08/09/2018","A"
"CAFE CENTRAL","2306 S KINNICKINNIC AV","14","08/09/2018","A"
"MCDONALDS","830 E POTTER AV","14","08/09/2018","A"
"MCDONALD'S #5439","5191 N TEUTONIA AV","","08/08/2018","A"
"WRIGHT FOOD MARKET","2501 N HOLTON ST","6","08/08/2018","A"
"SPIRTFIRES ON STATE","5018 W STATE ST","10","08/08/2018","A"
"NESSUN DORMA","2778 N WEIL ST","3","08/08/2018","A"
"DAVID SCHULZ AQUATIC CENTER","1300 W GLENDALE AV","","08/08/2018","A"
"THE CHEF'S TABLE","500 S 3RD ST","","08/07/2018","A"
"WOODLAND RETREAT","10001 W BLUE MOUND RD","","08/07/2018","A"
"BROWN DEER PARK RESTAURANT","7835 N GREEN BAY RD","","08/07/2018","A"
"BUCK BRADLEY'S EATERY & SALOON","1019 N OLD WORLD THIRD ST","4","08/07/2018","A"
"CHURCH'S CHICKEN","242 E CAPITOL DR","6","08/07/2018","B"
"PIZZERIA PICCOLA-CONCOURSE C","5300 S HOWELL AV","13","08/07/2018","A"
"FAIRFIELD INN & SUITES BY MARRIOT","710 N OLD WORLD THIRD ST","","08/06/2018","A"
"QUICK PICK FOOD MART","1203 E OKLAHOMA AV","14","08/06/2018","A"
"SAVE-A-LOT FOODS #8013","4821 N 76TH ST","2","08/03/2018","A"
"THAT CORNBEEF PLACE","1614 W WALNUT ST","15","08/03/2018","A"
"POPEYES","7525 W GOOD HOPE RD","9","08/03/2018","A"
"SUBWAY","2915 S KINNICKINNIC AV","14","08/03/2018","A"
"SAN DONG","220 W LAYTON AV","13","08/03/2018","A"
"16 BPS FIELD PORTABLE FP-16 #013 SECTION 128","201 S 46TH ST","10","08/03/2018","A"
"DAVIANS AT 411","411 E WISCONSIN AV","4","08/02/2018","A"
"CAFE DELI","901 N 9TH ST","4","08/02/2018","A"
"YEN CHING","7630 W GOOD HOPE RD","9","08/02/2018","A"
"MILWAUKEE WATERFRONT DELI #0524","761 N WATER ST","4","08/02/2018","MA"
"CITY.NET CAFE/ACR","901 N 9TH ST","","08/02/2018","A"
"LOS GEMELOS TACOS","1116 W HISTORIC MITCHELL ST","12","08/01/2018","A"
"MI PAIS","1401 W GREENFIELD AV","12","08/01/2018","A"
"PANDA EXPRESS #2148","3606 S 27TH ST","13","08/01/2018","A"
"FREEDOM GROCERY","2909 N HOLTON ST","6","08/01/2018","A"
